Time_(Ps),ROG_(nm)
10510,1.88206
10520,1.88396
10530,1.87468
10540,1.88394
10550,1.87697
10560,1.87611
10570,1.87896
10580,1.88089
10590,1.87696
10600,1.88104
10610,1.88582
10620,1.89402
10630,1.89271
10640,1.89282
10650,1.88614
10660,1.88286
10670,1.88627
10680,1.87778
10690,1.88148
10700,1.88106
10710,1.8796
10720,1.88037
10730,1.88183
10740,1.88197
10750,1.87411
10760,1.88398
10770,1.88683
10780,1.87679
10790,1.88751
10800,1.88257
10810,1.88338
10820,1.88811
10830,1.88252
10840,1.88419
10850,1.88086
10860,1.89353
10870,1.88444
10880,1.88152
10890,1.89197
10900,1.88229
10910,1.88641
10920,1.88593
10930,1.88969
10940,1.89026
10950,1.88409
10960,1.88824
10970,1.88554
10980,1.88591
10990,1.89251
11000,1.88434
11010,1.89473
11020,1.8845
11030,1.88662
11040,1.89669
11050,1.8873
11060,1.88976
11070,1.89234
11080,1.88751
11090,1.91125
11100,1.91391
11110,1.90215
11120,1.90242
11130,1.91002
11140,1.909
11150,1.9013
11160,1.90619
11170,1.90484
11180,1.90526
11190,1.9047
11200,1.89956
11210,1.89097
11220,1.89839
11230,1.88915
11240,1.88283
11250,1.89496
11260,1.89437
11270,1.8969
11280,1.90182
11290,1.89732
11300,1.88617
11310,1.89358
11320,1.89752
11330,1.89676
11340,1.89965
11350,1.89862
11360,1.89259
11370,1.89433
11380,1.89605
11390,1.89048
11400,1.89612
11410,1.89683
11420,1.90154
11430,1.88835
11440,1.89191
11450,1.89201
11460,1.89309
11470,1.88988
11480,1.8915
11490,1.89815
11500,1.8888
11510,1.88521
11520,1.88364
11530,1.88517
11540,1.88601
11550,1.89571
11560,1.88502
11570,1.89058
11580,1.89089
11590,1.8926
11600,1.89787
11610,1.88995
11620,1.89622
11630,1.89015
11640,1.89209
11650,1.89525
11660,1.89571
11670,1.89431
11680,1.89454
11690,1.89684
11700,1.89456
11710,1.89186
11720,1.89073
11730,1.89549
11740,1.88921
11750,1.8949
11760,1.88537
11770,1.89749
11780,1.89187
11790,1.88933
11800,1.89197
11810,1.88544
11820,1.88924
11830,1.89026
11840,1.89547
11850,1.89205
11860,1.89323
11870,1.89598
11880,1.89461
11890,1.8971
11900,1.89664
11910,1.88946
11920,1.89654
11930,1.88411
11940,1.88629
11950,1.88316
11960,1.88677
11970,1.87538
11980,1.88251
11990,1.8905
12000,1.89043
12010,1.88699
12020,1.89048
12030,1.89042
12040,1.88916
12050,1.88211
12060,1.87712
12070,1.88752
12080,1.88349
12090,1.89382
12100,1.8853
12110,1.88442
12120,1.88428
12130,1.88914
12140,1.89045
12150,1.89126
12160,1.89919
12170,1.89307
12180,1.90423
12190,1.89721
12200,1.88837
12210,1.89036
12220,1.89064
12230,1.88803
12240,1.88914
12250,1.88264
12260,1.8809
12270,1.88696
12280,1.88533
12290,1.88731
12300,1.88858
12310,1.88736
12320,1.88451
12330,1.87563
12340,1.8747
12350,1.86844
12360,1.87217
12370,1.87441
12380,1.87682
12390,1.87172
12400,1.87309
12410,1.86819
12420,1.87844
12430,1.87051
12440,1.87768
12450,1.87515
12460,1.88454
12470,1.88091
12480,1.88605
12490,1.8804
12500,1.8768
12510,1.8778
12520,1.87816
12530,1.88094
12540,1.88064
12550,1.87085
12560,1.87024
12570,1.87114
12580,1.8679
12590,1.87492
12600,1.86063
12610,1.87055
12620,1.86312
12630,1.86342
12640,1.86111
12650,1.86974
12660,1.87955
12670,1.86962
12680,1.86132
12690,1.86419
12700,1.87147
12710,1.86513
12720,1.8675
12730,1.86538
12740,1.87054
12750,1.86687
12760,1.86545
12770,1.87208
12780,1.87386
12790,1.86579
12800,1.87501
12810,1.88038
12820,1.88457
12830,1.8787
12840,1.89121
12850,1.87899
12860,1.88043
12870,1.87361
12880,1.87392
12890,1.87652
12900,1.87283
12910,1.88073
12920,1.8711
12930,1.8761
12940,1.87297
12950,1.87687
12960,1.87985
12970,1.87853
12980,1.87857
12990,1.86828
13000,1.87348
13010,1.87451
13020,1.87122
13030,1.87995
13040,1.8766
13050,1.86987
13060,1.87705
13070,1.87989
13080,1.87184
13090,1.87392
13100,1.86986
13110,1.87583
13120,1.87758
13130,1.87334
13140,1.87888
13150,1.88221
13160,1.87383
13170,1.88183
13180,1.87609
13190,1.88368
13200,1.88269
13210,1.88271
13220,1.87925
13230,1.88233
13240,1.87725
13250,1.87507
13260,1.87091
13270,1.88445
13280,1.8831
13290,1.87691
13300,1.88094
13310,1.89142
13320,1.88589
13330,1.88155
13340,1.88525
13350,1.87472
13360,1.87474
13370,1.8734
13380,1.87231
13390,1.87537
13400,1.87657
13410,1.88443
13420,1.88133
13430,1.87582
13440,1.87162
13450,1.86893
13460,1.86169
13470,1.8664
13480,1.86468
13490,1.86665
13500,1.86607
13510,1.85727
13520,1.8648
13530,1.86461
13540,1.86312
13550,1.85959
13560,1.86365
13570,1.87106
13580,1.87032
13590,1.86816
13600,1.87133
13610,1.86635
13620,1.86865
13630,1.86814
13640,1.86826
13650,1.87207
13660,1.86461
13670,1.86607
13680,1.87057
13690,1.88168
13700,1.87345
13710,1.87583
13720,1.87807
13730,1.87825
13740,1.87721
13750,1.87963
13760,1.88091
13770,1.87169
13780,1.88001
13790,1.88323
13800,1.8818
13810,1.87615
13820,1.87735
13830,1.88849
13840,1.888
13850,1.88419
13860,1.88467
13870,1.88837
13880,1.87656
13890,1.87577
13900,1.87906
13910,1.87705
13920,1.86762
13930,1.8706
13940,1.87423
13950,1.86815
13960,1.86801
13970,1.86858
13980,1.87798
13990,1.87375
14000,1.87526
14010,1.87694
14020,1.88631
14030,1.87755
14040,1.87851
14050,1.88042
14060,1.88581
14070,1.8823
14080,1.87323
14090,1.8875
14100,1.88481
14110,1.89112
14120,1.88866
14130,1.88554
14140,1.89041
14150,1.88033
14160,1.88267
14170,1.87621
14180,1.87865
14190,1.869
14200,1.87618
14210,1.8848
14220,1.88161
14230,1.88696
14240,1.87995
14250,1.87631
14260,1.88062
14270,1.88258
14280,1.87756
14290,1.86859
14300,1.8762
14310,1.86688
14320,1.86479
14330,1.8674
14340,1.86597
14350,1.85994
14360,1.87117
14370,1.86585
14380,1.87401
14390,1.86928
14400,1.86358
14410,1.86919
14420,1.8818
14430,1.87238
14440,1.86836
14450,1.86877
14460,1.87652
14470,1.87911
14480,1.87863
14490,1.88185
14500,1.87992
14510,1.87607
14520,1.88325
14530,1.87433
14540,1.88233
14550,1.87984
14560,1.88008
14570,1.87348
14580,1.8738
14590,1.86537
14600,1.87028
14610,1.87201
14620,1.87681
14630,1.86821
14640,1.87672
14650,1.873
14660,1.87594
14670,1.88354
14680,1.87768
14690,1.88442
14700,1.87824
14710,1.88425
14720,1.87899
14730,1.87842
14740,1.87901
14750,1.88066
14760,1.87311
14770,1.86498
14780,1.8752
14790,1.87533
14800,1.87034
14810,1.86857
14820,1.87699
14830,1.87908
14840,1.87614
14850,1.87883
14860,1.87905
14870,1.88116
14880,1.88018
14890,1.87496
14900,1.87744
14910,1.88415
14920,1.87952
14930,1.88399
14940,1.87734
14950,1.88114
14960,1.87909
14970,1.87566
14980,1.87607
14990,1.8691
15000,1.87005
15010,1.87489
15020,1.88058
15030,1.87964
15040,1.87998
15050,1.87996
15060,1.87904
15070,1.87236
15080,1.87715
15090,1.87412
15100,1.8749
15110,1.87509
15120,1.88487
15130,1.87732
15140,1.88096
15150,1.87977
15160,1.88388
15170,1.87994
15180,1.88446
15190,1.88217
15200,1.87999
15210,1.8794
15220,1.87802
15230,1.87168
15240,1.87717
15250,1.88634
15260,1.87968
15270,1.87303
15280,1.8674
15290,1.87056
15300,1.87371
15310,1.88032
15320,1.8805
15330,1.88434
15340,1.87508
15350,1.87596
15360,1.87485
15370,1.87511
15380,1.86631
15390,1.87561
15400,1.8722
15410,1.87004
15420,1.86775
15430,1.8654
15440,1.8707
15450,1.8778
15460,1.87548
15470,1.87828
15480,1.88283
15490,1.87128
15500,1.86952
15510,1.87203
15520,1.87396
15530,1.87569
15540,1.87542
15550,1.88332
15560,1.87542
15570,1.8711
15580,1.8762
15590,1.87773
15600,1.87336
15610,1.86541
15620,1.87105
15630,1.86861
