Time_(Ps),ROG_(nm)
11140,1.84715
11150,1.85453
11160,1.85005
11170,1.84724
11180,1.83455
11190,1.85161
11200,1.84225
11210,1.84781
11220,1.83344
11230,1.83921
11240,1.84199
11250,1.84007
11260,1.83911
11270,1.85086
11280,1.84639
11290,1.84596
11300,1.85576
11310,1.85361
11320,1.85097
11330,1.85427
11340,1.8573
11350,1.85025
11360,1.85729
11370,1.86092
11380,1.85264
11390,1.86908
11400,1.8546
11410,1.85881
11420,1.85105
11430,1.85841
11440,1.84778
11450,1.85329
11460,1.85407
11470,1.85742
11480,1.85636
11490,1.85108
11500,1.86003
11510,1.84542
11520,1.84341
11530,1.8541
11540,1.85264
11550,1.85763
11560,1.85282
11570,1.85197
11580,1.85145
11590,1.85711
11600,1.85947
11610,1.85407
11620,1.85687
11630,1.86258
11640,1.85088
11650,1.8594
11660,1.84296
11670,1.85072
11680,1.84459
11690,1.85151
11700,1.8595
11710,1.85019
11720,1.85757
11730,1.85509
11740,1.84956
11750,1.85422
11760,1.8437
11770,1.85864
11780,1.84363
11790,1.84431
11800,1.85823
11810,1.84711
11820,1.84751
11830,1.84834
11840,1.84893
11850,1.84762
11860,1.84304
11870,1.84687
11880,1.8473
11890,1.84498
11900,1.84319
11910,1.83946
11920,1.83447
11930,1.84014
11940,1.83553
11950,1.84024
11960,1.84605
11970,1.83647
11980,1.84291
11990,1.83817
12000,1.84218
12010,1.84931
12020,1.84512
12030,1.84114
12040,1.83956
12050,1.84613
12060,1.84019
12070,1.84478
12080,1.84057
12090,1.84727
12100,1.84576
12110,1.84558
12120,1.8364
12130,1.83714
12140,1.83465
12150,1.84245
12160,1.84208
12170,1.84072
12180,1.83685
12190,1.84533
12200,1.84885
12210,1.84846
12220,1.84743
12230,1.85073
12240,1.85077
12250,1.85322
12260,1.84244
12270,1.85483
12280,1.8555
12290,1.85042
12300,1.84729
12310,1.84218
12320,1.84509
12330,1.84
12340,1.83945
12350,1.84021
12360,1.84394
12370,1.84083
12380,1.84053
12390,1.84514
12400,1.84865
12410,1.8476
12420,1.83916
12430,1.84706
12440,1.85259
12450,1.85238
12460,1.84953
12470,1.84679
12480,1.84046
12490,1.84982
12500,1.85119
12510,1.85024
12520,1.84399
12530,1.84896
12540,1.84666
12550,1.84489
12560,1.85414
12570,1.84593
12580,1.85076
12590,1.8513
12600,1.84312
12610,1.84873
12620,1.84758
12630,1.85134
12640,1.84908
12650,1.83907
12660,1.84771
12670,1.84805
12680,1.84144
12690,1.83963
12700,1.84814
12710,1.84673
12720,1.84244
12730,1.83553
12740,1.84257
12750,1.84416
12760,1.84003
12770,1.8435
12780,1.84147
12790,1.83889
12800,1.84485
12810,1.83837
12820,1.84443
12830,1.83887
12840,1.84169
12850,1.83833
12860,1.85522
12870,1.85499
12880,1.85321
12890,1.84654
12900,1.85654
12910,1.84817
12920,1.84779
12930,1.8458
12940,1.84488
12950,1.83978
12960,1.84542
12970,1.84475
12980,1.85232
12990,1.8559
13000,1.85666
13010,1.85001
13020,1.8527
13030,1.85437
13040,1.85199
13050,1.84708
13060,1.84974
13070,1.85479
13080,1.84686
13090,1.85013
13100,1.85138
13110,1.84853
13120,1.8528
13130,1.84456
13140,1.83869
